epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,18533.1,0.51931,0.86559,0.60784,0.98433,0.8698,0.73672,0.82163,0.7418,0.86936,0.73594,0.81861,0.70138,0.39292,0.77454,0.51613,0.90366,0.00928225,0.00928225,0.00928225
31,19150.2,0.51472,0.86564,0.60296,0.98093,0.86397,0.7381,0.82123,0.73863,0.8661,0.73821,0.8184,0.69472,0.40599,0.77855,0.50651,0.91492,0.0092575,0.0092575,0.0092575
32,19767.2,0.51534,0.87382,0.60856,0.97968,0.89145,0.72352,0.82474,0.74344,0.89364,0.72444,0.82443,0.70329,0.39264,0.75087,0.49308,0.91002,0.00923275,0.00923275,0.00923275
33,20384.3,0.51197,0.85561,0.59598,0.9787,0.88366,0.74268,0.82636,0.74686,0.89234,0.73571,0.82427,0.70961,0.38572,0.73163,0.49236,0.90731,0.009208,0.009208,0.009208
34,21001.1,0.50818,0.85242,0.59135,0.97512,0.89091,0.72204,0.82593,0.74543,0.89593,0.72446,0.82457,0.70586,0.3865,0.73868,0.48742,0.9084,0.00918325,0.00918325,0.00918325
35,21617.5,0.49603,0.83311,0.57949,0.97434,0.88243,0.74071,0.83004,0.75029,0.88569,0.73582,0.82664,0.71191,0.37663,0.73911,0.48633,0.90738,0.0091585,0.0091585,0.0091585
36,22234.1,0.49869,0.83649,0.58762,0.97031,0.87418,0.73821,0.82825,0.75043,0.88332,0.73696,0.82999,0.71564,0.38,0.73673,0.49334,0.89647,0.00913375,0.00913375,0.00913375
37,22851.3,0.49728,0.81676,0.5722,0.97037,0.87146,0.7498,0.83532,0.75577,0.87595,0.74565,0.83205,0.7122,0.37945,0.72399,0.47506,0.90844,0.009109,0.009109,0.009109
38,23468.4,0.48846,0.81163,0.56877,0.96841,0.90408,0.7332,0.83453,0.75596,0.90824,0.73258,0.83461,0.71314,0.3782,0.71461,0.47758,0.90628,0.00908425,0.00908425,0.00908425
39,24085,0.48626,0.81131,0.56511,0.96541,0.89881,0.73813,0.84043,0.76011,0.89439,0.73914,0.83769,0.71594,0.37329,0.70861,0.46724,0.90007,0.0090595,0.0090595,0.0090595
40,24702.1,0.48423,0.7988,0.56493,0.96403,0.88296,0.74602,0.83485,0.75941,0.88518,0.74789,0.83505,0.71596,0.35916,0.71513,0.47042,0.89454,0.00903475,0.00903475,0.00903475
41,25318.8,0.48146,0.79312,0.55586,0.95977,0.87035,0.75499,0.83836,0.76266,0.87143,0.75593,0.83614,0.71828,0.36132,0.71977,0.46635,0.893,0.00901,0.00901,0.00901
42,25936.5,0.47963,0.78762,0.55039,0.95917,0.87585,0.76035,0.83763,0.7631,0.87734,0.7582,0.83399,0.71716,0.35986,0.70804,0.4564,0.89549,0.00898525,0.00898525,0.00898525
43,26553.4,0.47386,0.77681,0.54334,0.95524,0.89922,0.74133,0.84036,0.76399,0.90197,0.74445,0.83908,0.72037,0.36216,0.6939,0.45622,0.89356,0.0089605,0.0089605,0.0089605
44,27170.2,0.47938,0.77893,0.54735,0.95619,0.86668,0.75914,0.8364,0.76127,0.86719,0.7557,0.83238,0.7167,0.36089,0.70916,0.46491,0.89179,0.00893575,0.00893575,0.00893575
45,27787.2,0.47649,0.7715,0.54616,0.95667,0.86219,0.7603,0.8386,0.76143,0.87536,0.7507,0.83666,0.71977,0.36157,0.70276,0.47082,0.89201,0.008911,0.008911,0.008911
46,28403.9,0.47007,0.76235,0.53425,0.95233,0.89263,0.75581,0.84059,0.76601,0.89258,0.75802,0.83892,0.72113,0.36014,0.70039,0.45845,0.89793,0.00888625,0.00888625,0.00888625
47,29020.5,0.46563,0.76059,0.53227,0.95247,0.86616,0.76039,0.83771,0.76818,0.86817,0.76132,0.83763,0.72173,0.35124,0.68568,0.45601,0.88595,0.0088615,0.0088615,0.0088615
48,29637.6,0.46554,0.75358,0.52714,0.95243,0.88496,0.74978,0.83907,0.7663,0.88996,0.75289,0.83943,0.72294,0.34969,0.6902,0.45985,0.88611,0.00883675,0.00883675,0.00883675
49,30254.4,0.46355,0.76531,0.53079,0.95294,0.88164,0.75631,0.84354,0.77014,0.88376,0.75508,0.84111,0.72608,0.34859,0.67764,0.45159,0.89116,0.008812,0.008812,0.008812
50,30871.3,0.46524,0.75158,0.53328,0.94738,0.85771,0.78338,0.8452,0.77235,0.8569,0.77851,0.8402,0.72444,0.34728,0.67151,0.44483,0.88286,0.00878725,0.00878725,0.00878725
