epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,3111.06,0.68095,1.18526,0.80471,1.0357,0.81638,0.63534,0.73072,0.61624,0.82338,0.63999,0.73248,0.59903,0.60804,1.21466,0.72395,1.00085,0.009043,0.009043,0.009043
31,3214.46,0.68262,1.2011,0.80883,1.03542,0.81062,0.64614,0.73445,0.61972,0.83161,0.63531,0.73163,0.5974,0.60079,1.21072,0.72715,0.99074,0.00901,0.00901,0.00901
32,3317.69,0.67673,1.1952,0.80562,1.03168,0.83327,0.64161,0.73363,0.61833,0.84351,0.63642,0.73494,0.59648,0.60004,1.20038,0.71836,0.99435,0.008977,0.008977,0.008977
33,3420.84,0.66806,1.17004,0.78394,1.03301,0.84648,0.64874,0.74318,0.62676,0.85272,0.64485,0.73754,0.60318,0.59062,1.18466,0.6979,0.99023,0.008944,0.008944,0.008944
34,3523.59,0.66196,1.16472,0.77867,1.02746,0.81961,0.63901,0.73573,0.62368,0.84665,0.63189,0.73417,0.60291,0.58874,1.18545,0.71554,0.98776,0.008911,0.008911,0.008911
35,3626.66,0.66251,1.16621,0.78413,1.02837,0.82725,0.64243,0.742,0.6279,0.82391,0.63984,0.73385,0.6037,0.58573,1.19866,0.69432,0.99004,0.008878,0.008878,0.008878
36,3729.89,0.66383,1.16586,0.78157,1.02513,0.83673,0.64267,0.74936,0.63779,0.84374,0.63934,0.74484,0.6149,0.57715,1.18799,0.67875,0.98159,0.008845,0.008845,0.008845
37,3833.22,0.66198,1.15954,0.78032,1.02217,0.84572,0.6442,0.74761,0.63433,0.85492,0.64158,0.7429,0.61343,0.56777,1.14558,0.68393,0.97249,0.008812,0.008812,0.008812
38,3935.93,0.65608,1.15187,0.76252,1.02229,0.84684,0.64679,0.74617,0.63508,0.85296,0.64582,0.74333,0.61361,0.57432,1.14657,0.68476,0.98092,0.008779,0.008779,0.008779
39,4039.11,0.64667,1.12881,0.75532,1.01581,0.83932,0.65295,0.75185,0.63987,0.85008,0.64862,0.74844,0.61729,0.56864,1.14534,0.67914,0.97315,0.008746,0.008746,0.008746
40,4142.13,0.65367,1.14719,0.76327,1.02011,0.8297,0.66309,0.75329,0.64523,0.8371,0.66073,0.74927,0.62247,0.54936,1.12516,0.67422,0.9574,0.008713,0.008713,0.008713
41,4245.27,0.65209,1.13338,0.76436,1.02049,0.82816,0.66591,0.75336,0.64525,0.841,0.65473,0.75121,0.62468,0.56294,1.13028,0.66516,0.97435,0.00868,0.00868,0.00868
42,4348.13,0.63664,1.11016,0.75276,1.01387,0.8297,0.66883,0.75245,0.64184,0.83103,0.66299,0.74793,0.61755,0.55642,1.1187,0.66757,0.9658,0.008647,0.008647,0.008647
43,4451.37,0.64228,1.12898,0.74402,1.01463,0.83837,0.66008,0.75729,0.64642,0.85356,0.64975,0.75122,0.6234,0.55813,1.13076,0.66733,0.9661,0.008614,0.008614,0.008614
44,4554.42,0.63614,1.11123,0.74352,1.00944,0.85277,0.65781,0.75411,0.64294,0.85628,0.65642,0.75015,0.62086,0.55751,1.1297,0.66667,0.97113,0.008581,0.008581,0.008581
45,4657.64,0.63534,1.10038,0.74438,1.01524,0.84651,0.65768,0.75687,0.65302,0.84567,0.65876,0.7527,0.63098,0.54519,1.10614,0.65611,0.95928,0.008548,0.008548,0.008548
46,4760.72,0.63502,1.09081,0.74077,1.00875,0.84202,0.66668,0.76069,0.65115,0.8528,0.65897,0.75509,0.62881,0.55034,1.10136,0.64995,0.96665,0.008515,0.008515,0.008515
47,4863.88,0.63193,1.10136,0.72786,1.00815,0.84847,0.66202,0.7632,0.65129,0.85966,0.65846,0.75948,0.62898,0.55269,1.11429,0.6421,0.9689,0.008482,0.008482,0.008482
48,4966.59,0.63343,1.0893,0.72605,1.01014,0.8441,0.6737,0.76619,0.658,0.84871,0.66894,0.76363,0.63667,0.53974,1.09502,0.6331,0.95628,0.008449,0.008449,0.008449
49,5069.63,0.62919,1.09882,0.72295,1.0068,0.84666,0.66364,0.76209,0.6551,0.84977,0.66351,0.75935,0.63189,0.53759,1.0959,0.63638,0.95367,0.008416,0.008416,0.008416
50,5172.39,0.63005,1.10502,0.73118,1.00555,0.85356,0.66073,0.76402,0.65864,0.85328,0.66335,0.76038,0.6336,0.53358,1.09463,0.63217,0.95371,0.008383,0.008383,0.008383
51,5275.62,0.62371,1.07906,0.72238,1.00485,0.84743,0.67563,0.7691,0.66392,0.84964,0.67401,0.76493,0.64032,0.53649,1.08772,0.62446,0.9543,0.00835,0.00835,0.00835
52,5378.57,0.62762,1.10167,0.72886,1.00609,0.84438,0.66991,0.76681,0.66232,0.85222,0.66337,0.76252,0.63842,0.53313,1.07936,0.62668,0.95082,0.008317,0.008317,0.008317
53,5481.65,0.61646,1.06795,0.7116,1.00118,0.83582,0.67801,0.76846,0.66043,0.85141,0.66883,0.76292,0.63648,0.53469,1.088,0.62607,0.95503,0.008284,0.008284,0.008284
54,5584.73,0.62302,1.09475,0.7212,1.00184,0.85064,0.68114,0.77078,0.66356,0.84654,0.67758,0.76484,0.63713,0.53444,1.08065,0.62558,0.95754,0.008251,0.008251,0.008251
55,5687.87,0.6152,1.05976,0.71155,1.0001,0.83834,0.67552,0.76652,0.65975,0.84345,0.66868,0.75955,0.63553,0.53149,1.07456,0.63003,0.95383,0.008218,0.008218,0.008218
56,5790.86,0.61135,1.06199,0.70765,0.99574,0.8258,0.68359,0.76979,0.66383,0.82857,0.68341,0.76454,0.64018,0.52546,1.0706,0.62414,0.94713,0.008185,0.008185,0.008185
57,5894.02,0.61633,1.07026,0.70282,0.99912,0.84856,0.67498,0.76999,0.6655,0.86749,0.66753,0.76804,0.64383,0.52173,1.06214,0.62684,0.94459,0.008152,0.008152,0.008152
58,5997.02,0.60428,1.0541,0.69919,0.99413,0.83353,0.68633,0.77151,0.66792,0.85168,0.67729,0.76715,0.64297,0.51728,1.06386,0.6126,0.94748,0.008119,0.008119,0.008119
59,6100.47,0.60576,1.04682,0.69232,0.99393,0.86226,0.67272,0.77519,0.67066,0.86102,0.67174,0.76852,0.64713,0.51696,1.06524,0.61078,0.9466,0.008086,0.008086,0.008086
60,6203.33,0.60642,1.05769,0.693,0.99505,0.86218,0.66623,0.77479,0.67239,0.87165,0.66237,0.76946,0.64873,0.51741,1.04638,0.60812,0.94197,0.008053,0.008053,0.008053
61,6306.34,0.60207,1.04338,0.69425,0.99259,0.84023,0.69183,0.7775,0.67555,0.8402,0.68989,0.77036,0.64903,0.5148,1.05911,0.60115,0.94391,0.00802,0.00802,0.00802
62,6409.54,0.60287,1.04799,0.68467,0.98855,0.85918,0.68244,0.77628,0.67594,0.86373,0.6778,0.77204,0.65084,0.51422,1.05733,0.5985,0.94442,0.007987,0.007987,0.007987
63,6512.53,0.60098,1.04814,0.68865,0.99111,0.84852,0.68611,0.77769,0.67771,0.8496,0.68276,0.77178,0.64869,0.50678,1.05709,0.60366,0.94366,0.007954,0.007954,0.007954
64,6615.41,0.59795,1.03006,0.68334,0.98972,0.83649,0.69345,0.77646,0.67499,0.86047,0.68143,0.77237,0.64838,0.50966,1.05923,0.59935,0.944,0.007921,0.007921,0.007921
65,6718.15,0.596,1.03267,0.67838,0.98896,0.87231,0.67239,0.77475,0.6742,0.87345,0.67098,0.76836,0.64688,0.50801,1.05614,0.60957,0.93907,0.007888,0.007888,0.007888
66,6820.99,0.59902,1.02117,0.68653,0.99022,0.84177,0.68989,0.77681,0.67655,0.85601,0.67887,0.77338,0.64913,0.50566,1.05386,0.59893,0.93746,0.007855,0.007855,0.007855
67,6923.92,0.5965,1.02104,0.68316,0.98858,0.83786,0.69572,0.77829,0.67828,0.8453,0.68345,0.77129,0.6506,0.50799,1.04718,0.59497,0.94084,0.007822,0.007822,0.007822
68,7027.06,0.59435,1.03328,0.67846,0.98732,0.82752,0.70274,0.77762,0.67774,0.83236,0.69508,0.77136,0.65069,0.50326,1.04138,0.60448,0.93831,0.007789,0.007789,0.007789
69,7129.84,0.59058,1.02864,0.67692,0.98979,0.84534,0.69313,0.77884,0.67845,0.84302,0.69151,0.77479,0.65268,0.50355,1.04194,0.5939,0.93723,0.007756,0.007756,0.007756
70,7232.62,0.59397,1.02836,0.67272,0.98649,0.8367,0.69961,0.78322,0.68274,0.85742,0.67424,0.77719,0.65515,0.50137,1.04024,0.58328,0.93635,0.007723,0.007723,0.007723
71,7335.49,0.58871,1.01657,0.67042,0.98586,0.86399,0.68503,0.78343,0.68183,0.85512,0.68281,0.77755,0.65497,0.50275,1.03131,0.58418,0.93457,0.00769,0.00769,0.00769
72,7438.49,0.58728,1.01136,0.66131,0.98687,0.85803,0.68957,0.78363,0.68219,0.8529,0.68795,0.77715,0.65352,0.50282,1.02621,0.57864,0.93567,0.007657,0.007657,0.007657
73,7541.36,0.59306,1.03749,0.66298,0.98442,0.8538,0.68885,0.78265,0.68254,0.85099,0.68658,0.778,0.65609,0.5003,1.02805,0.57984,0.93442,0.007624,0.007624,0.007624
74,7644.6,0.59421,1.02746,0.66888,0.9882,0.85135,0.69038,0.78112,0.68352,0.85513,0.68438,0.77664,0.65643,0.49798,1.03421,0.58539,0.93146,0.007591,0.007591,0.007591
75,7747.44,0.58496,1.00756,0.66847,0.98406,0.84582,0.69054,0.78072,0.68313,0.85349,0.6873,0.77674,0.65591,0.49451,1.03181,0.58544,0.92931,0.007558,0.007558,0.007558
76,7850.53,0.58746,1.01639,0.65724,0.98172,0.85098,0.69206,0.78401,0.68365,0.85167,0.69151,0.77813,0.6565,0.49849,1.03226,0.58449,0.93285,0.007525,0.007525,0.007525
77,7953.54,0.58793,1.01527,0.65831,0.98032,0.85014,0.69248,0.78393,0.68277,0.85865,0.68859,0.77855,0.65733,0.5031,1.0302,0.58383,0.9367,0.007492,0.007492,0.007492
