epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,5069.65,0.58725,0.99681,0.69024,0.99198,0.8189,0.68049,0.76351,0.66172,0.8236,0.67984,0.76363,0.63725,0.53282,1.06798,0.64243,0.95115,0.009043,0.009043,0.009043
31,5238.49,0.5897,1.0044,0.69406,0.99116,0.85006,0.67142,0.76886,0.66357,0.8509,0.67174,0.7637,0.63533,0.53177,1.08366,0.64262,0.95941,0.00901,0.00901,0.00901
32,5407.51,0.58391,1.00148,0.68718,0.9877,0.83953,0.67642,0.76486,0.66472,0.84576,0.6752,0.76258,0.6377,0.52005,1.06249,0.64995,0.9454,0.008977,0.008977,0.008977
33,5576.21,0.5788,0.98464,0.66684,0.98892,0.86586,0.66725,0.77678,0.67393,0.86491,0.66721,0.76967,0.6441,0.51326,1.04721,0.61862,0.93598,0.008944,0.008944,0.008944
34,5745.17,0.57089,0.97249,0.66887,0.98144,0.85922,0.67596,0.78119,0.67452,0.85263,0.67628,0.77431,0.64728,0.51483,1.05181,0.62326,0.9375,0.008911,0.008911,0.008911
35,5914.18,0.57078,0.97331,0.666,0.98393,0.84217,0.69054,0.77793,0.67843,0.85017,0.67846,0.77066,0.64923,0.50788,1.05975,0.60656,0.93977,0.008878,0.008878,0.008878
36,6083.52,0.57221,0.97291,0.66074,0.98113,0.86364,0.68752,0.78349,0.68109,0.86239,0.68373,0.77802,0.65598,0.50471,1.03219,0.60534,0.93954,0.008845,0.008845,0.008845
37,6252.23,0.57076,0.96124,0.66003,0.97886,0.85847,0.67952,0.78483,0.68219,0.86834,0.67434,0.77966,0.65435,0.50324,1.02701,0.59512,0.93479,0.008812,0.008812,0.008812
38,6420.67,0.56163,0.95223,0.64626,0.97776,0.86234,0.67531,0.78205,0.6826,0.86977,0.67525,0.77918,0.65613,0.49973,1.02084,0.60101,0.93575,0.008779,0.008779,0.008779
39,6589.38,0.55499,0.9313,0.63868,0.97173,0.85283,0.69345,0.77994,0.68115,0.86135,0.68471,0.77744,0.65271,0.49786,1.01993,0.59739,0.93375,0.008746,0.008746,0.008746
40,6758.11,0.56057,0.94907,0.64684,0.97456,0.84984,0.69688,0.78652,0.68886,0.85375,0.69507,0.78028,0.6606,0.4865,0.99507,0.5779,0.92894,0.008713,0.008713,0.008713
41,6926.84,0.55397,0.93315,0.63334,0.97186,0.86747,0.68017,0.78618,0.68889,0.86646,0.68332,0.78143,0.66207,0.48321,0.98287,0.58662,0.92509,0.00868,0.00868,0.00868
42,7095.41,0.54214,0.91255,0.63473,0.9683,0.88022,0.686,0.78648,0.69011,0.88091,0.68827,0.78167,0.65782,0.48956,1.01188,0.58714,0.93071,0.008647,0.008647,0.008647
43,7264.29,0.54726,0.92201,0.6256,0.96848,0.86412,0.69654,0.79228,0.69483,0.87516,0.69284,0.78831,0.66857,0.4882,1.00189,0.57152,0.93021,0.008614,0.008614,0.008614
