epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,539.051,0.42375,0.49057,0.39362,0.8908,0.96505,0.9632,0.98841,0.93679,0.96505,0.9632,0.98794,0.90178,0.33239,0.43361,0.30156,0.62577,0.0018086,0.0018086,0.0018086
31,556.949,0.42587,0.50681,0.3993,0.88593,0.98231,0.96131,0.99143,0.93846,0.98452,0.96347,0.99173,0.87853,0.34418,0.45013,0.31272,0.64362,0.001802,0.001802,0.001802
32,574.814,0.41264,0.46308,0.38813,0.88588,0.96793,0.98001,0.98855,0.94074,0.96633,0.97619,0.9882,0.88796,0.30858,0.41606,0.29822,0.62603,0.0017954,0.0017954,0.0017954
33,592.799,0.40819,0.48491,0.39093,0.88262,0.97872,0.95671,0.98882,0.9421,0.97968,0.95671,0.98874,0.88568,0.3182,0.46582,0.3039,0.61778,0.0017888,0.0017888,0.0017888
34,610.678,0.39817,0.47552,0.37105,0.87371,0.95157,0.98268,0.98669,0.94267,0.95158,0.97841,0.9867,0.88422,0.30516,0.46433,0.3008,0.61482,0.0017822,0.0017822,0.0017822
35,628.735,0.40229,0.45502,0.37522,0.87595,0.94589,0.97619,0.98569,0.94038,0.95897,0.96128,0.98327,0.89116,0.32516,0.42027,0.31686,0.62731,0.0017756,0.0017756,0.0017756
36,646.605,0.42512,0.49087,0.39771,0.88791,0.96839,0.97186,0.98928,0.93993,0.96623,0.9697,0.98906,0.87293,0.32861,0.45581,0.29524,0.62088,0.001769,0.001769,0.001769
37,664.498,0.3936,0.44919,0.36353,0.87435,0.97086,0.9697,0.98934,0.93741,0.96921,0.96753,0.98948,0.89835,0.31946,0.44878,0.29213,0.61701,0.0017624,0.0017624,0.0017624
38,682.412,0.39135,0.44872,0.36949,0.87204,0.96168,0.96753,0.98826,0.93941,0.95753,0.96537,0.9879,0.87327,0.31478,0.40447,0.28408,0.62199,0.0017558,0.0017558,0.0017558
39,700.434,0.38335,0.42933,0.3599,0.87858,0.95853,0.97619,0.98929,0.94424,0.96358,0.97344,0.98833,0.87447,0.31043,0.42957,0.2858,0.63351,0.0017492,0.0017492,0.0017492
