epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,892.904,0.40429,0.45495,0.391,0.89277,0.93885,0.9697,0.98042,0.94535,0.94514,0.97619,0.98166,0.91925,0.30394,0.40066,0.34,0.63592,0.0018086,0.0018086,0.0018086
31,922.547,0.40535,0.47062,0.38956,0.88766,0.95945,0.97304,0.98488,0.94676,0.95945,0.97304,0.98462,0.90657,0.29052,0.4309,0.29611,0.62953,0.001802,0.001802,0.001802
32,952.13,0.37849,0.42576,0.36591,0.87866,0.95355,0.97746,0.98805,0.9459,0.95557,0.97755,0.98853,0.91005,0.29322,0.34414,0.30074,0.63774,0.0017954,0.0017954,0.0017954
33,981.886,0.38689,0.43801,0.36563,0.87674,0.95131,0.9697,0.98455,0.93672,0.94919,0.96753,0.9828,0.87452,0.31243,0.39402,0.31397,0.63421,0.0017888,0.0017888,0.0017888
34,1011.55,0.38192,0.41503,0.3634,0.8731,0.95154,0.97619,0.98595,0.95023,0.95434,0.97835,0.98589,0.91774,0.27367,0.4701,0.27309,0.61516,0.0017822,0.0017822,0.0017822
35,1041.27,0.37535,0.40586,0.35265,0.87132,0.95976,0.98099,0.9885,0.9544,0.96974,0.97127,0.98859,0.91289,0.29133,0.42381,0.28322,0.63872,0.0017756,0.0017756,0.0017756
36,1070.87,0.38334,0.43422,0.36687,0.87511,0.97617,0.96537,0.99017,0.94933,0.97836,0.96753,0.99056,0.88576,0.28872,0.4334,0.27152,0.62658,0.001769,0.001769,0.001769
37,1100.5,0.37375,0.40466,0.34492,0.87088,0.96547,0.96832,0.98942,0.95277,0.96896,0.96537,0.98883,0.91282,0.29055,0.42332,0.28244,0.62577,0.0017624,0.0017624,0.0017624
38,1130.26,0.36892,0.3966,0.34887,0.8642,0.95741,0.97403,0.98786,0.95008,0.9593,0.96931,0.98718,0.87861,0.29301,0.3885,0.28044,0.62773,0.0017558,0.0017558,0.0017558
39,1159.86,0.3616,0.39046,0.34029,0.86932,0.96998,0.97923,0.98643,0.95658,0.97379,0.96753,0.98449,0.91559,0.27621,0.42732,0.28037,0.62058,0.0017492,0.0017492,0.0017492
40,1189.54,0.36732,0.40722,0.34932,0.86651,0.96317,0.9624,0.98962,0.95162,0.97078,0.95238,0.9883,0.90745,0.2769,0.38919,0.27088,0.61492,0.0017426,0.0017426,0.0017426
41,1219.23,0.37791,0.40178,0.3446,0.8789,0.97588,0.96344,0.98813,0.94842,0.97369,0.96127,0.98773,0.90816,0.27623,0.38928,0.26527,0.61989,0.001736,0.001736,0.001736
42,1249.01,0.36906,0.41084,0.34195,0.87373,0.96967,0.96866,0.98939,0.95687,0.97852,0.96753,0.9896,0.90936,0.27996,0.39124,0.27879,0.63422,0.0017294,0.0017294,0.0017294
43,1278.65,0.36306,0.39406,0.34242,0.87039,0.96993,0.97729,0.98967,0.95504,0.96563,0.97296,0.98909,0.88293,0.27643,0.3587,0.25544,0.62088,0.0017228,0.0017228,0.0017228
44,1308.31,0.36575,0.40754,0.33485,0.87133,0.97016,0.97403,0.99106,0.95737,0.97016,0.97403,0.99136,0.90615,0.26985,0.37962,0.25336,0.62217,0.0017162,0.0017162,0.0017162
45,1337.93,0.34762,0.39083,0.32144,0.86166,0.97254,0.97403,0.98941,0.95668,0.9688,0.9697,0.98841,0.90948,0.26659,0.44896,0.2579,0.60663,0.0017096,0.0017096,0.0017096
46,1367.7,0.35894,0.39471,0.33707,0.86957,0.9686,0.96537,0.98862,0.95685,0.97276,0.95887,0.98862,0.91987,0.26461,0.39844,0.26187,0.6266,0.001703,0.001703,0.001703
47,1397.38,0.35794,0.40115,0.34403,0.86717,0.96253,0.9697,0.98811,0.95672,0.9637,0.96753,0.98769,0.91667,0.26926,0.44103,0.27883,0.62497,0.0016964,0.0016964,0.0016964
48,1427.02,0.34839,0.39606,0.32489,0.86491,0.97709,0.94589,0.98783,0.95915,0.97933,0.94805,0.98807,0.93559,0.26758,0.39451,0.27049,0.61068,0.0016898,0.0016898,0.0016898
49,1456.68,0.3487,0.38613,0.33214,0.86593,0.96265,0.9632,0.98488,0.9552,0.96482,0.96537,0.98505,0.91755,0.26798,0.37694,0.29205,0.61908,0.0016832,0.0016832,0.0016832
50,1486.46,0.35133,0.40687,0.32968,0.86484,0.96855,0.97186,0.98944,0.95634,0.96855,0.97186,0.98944,0.90734,0.27378,0.3391,0.26188,0.60989,0.0016766,0.0016766,0.0016766
51,1516.09,0.34473,0.37578,0.32151,0.86264,0.96131,0.97186,0.9889,0.95396,0.96824,0.96104,0.98915,0.8986,0.27202,0.44117,0.26864,0.62103,0.00167,0.00167,0.00167
52,1545.74,0.3481,0.38144,0.31795,0.86108,0.96594,0.98204,0.98959,0.95421,0.96525,0.98268,0.99002,0.90095,0.25411,0.34255,0.27978,0.60722,0.0016634,0.0016634,0.0016634
53,1575.41,0.3504,0.39341,0.32323,0.86392,0.96219,0.98268,0.98931,0.9542,0.96219,0.98268,0.98971,0.91068,0.25569,0.3629,0.27951,0.61209,0.0016568,0.0016568,0.0016568
54,1605.14,0.3413,0.37445,0.31386,0.86156,0.96151,0.98701,0.99163,0.95915,0.96007,0.98701,0.99157,0.93167,0.26944,0.35565,0.25117,0.63372,0.0016502,0.0016502,0.0016502
55,1634.75,0.33985,0.37706,0.30662,0.86043,0.98681,0.97146,0.99259,0.96186,0.98901,0.97362,0.99285,0.91065,0.26621,0.39429,0.24533,0.61308,0.0016436,0.0016436,0.0016436
56,1664.36,0.33057,0.36355,0.29836,0.86165,0.96893,0.98485,0.99174,0.9587,0.98595,0.9697,0.99148,0.90054,0.25213,0.37582,0.23949,0.60951,0.001637,0.001637,0.001637
57,1694.06,0.3409,0.38021,0.31577,0.85758,0.96806,0.98416,0.99104,0.96586,0.97221,0.9632,0.99003,0.90377,0.25066,0.3656,0.25411,0.61027,0.0016304,0.0016304,0.0016304
58,1723.73,0.34315,0.37057,0.31855,0.8632,0.9634,0.98701,0.99055,0.95894,0.97672,0.97403,0.99046,0.906,0.2575,0.352,0.2546,0.61112,0.0016238,0.0016238,0.0016238
59,1753.54,0.33733,0.37249,0.31508,0.86514,0.96926,0.97835,0.98874,0.96189,0.9714,0.98052,0.98952,0.91356,0.25434,0.39889,0.24939,0.61498,0.0016172,0.0016172,0.0016172
60,1783.15,0.32583,0.35651,0.30695,0.85457,0.97838,0.96537,0.9899,0.96308,0.97469,0.9697,0.98983,0.91653,0.25753,0.35182,0.25833,0.62896,0.0016106,0.0016106,0.0016106
61,1812.79,0.3237,0.34549,0.30148,0.85615,0.97697,0.97186,0.99068,0.96847,0.98132,0.97619,0.99106,0.91386,0.24162,0.35159,0.24482,0.62157,0.001604,0.001604,0.001604
62,1842.43,0.33087,0.36316,0.30835,0.86151,0.98342,0.97403,0.99153,0.96481,0.98779,0.97835,0.99253,0.9164,0.2524,0.39486,0.22532,0.62639,0.0015974,0.0015974,0.0015974
63,1872.19,0.32024,0.35415,0.29485,0.85686,0.9814,0.98052,0.99066,0.96213,0.9814,0.98052,0.99066,0.93287,0.25703,0.42713,0.24032,0.62779,0.0015908,0.0015908,0.0015908
64,1901.86,0.34219,0.36919,0.31928,0.85972,0.97043,0.97186,0.99035,0.96194,0.97489,0.96537,0.98937,0.9293,0.24588,0.4147,0.24911,0.61251,0.0015842,0.0015842,0.0015842
65,1931.45,0.32423,0.3805,0.30294,0.86005,0.96973,0.98052,0.99035,0.96421,0.97208,0.97959,0.99067,0.91473,0.25194,0.4494,0.24126,0.60884,0.0015776,0.0015776,0.0015776
66,1961.1,0.33629,0.36565,0.30325,0.85943,0.97612,0.97317,0.99182,0.969,0.97829,0.97533,0.99216,0.92051,0.25042,0.40924,0.23482,0.61369,0.001571,0.001571,0.001571
67,1990.89,0.3364,0.36351,0.31488,0.86157,0.97215,0.97835,0.9918,0.9584,0.97629,0.9802,0.99125,0.90828,0.25462,0.39604,0.24222,0.60225,0.0015644,0.0015644,0.0015644
68,2020.53,0.32166,0.37529,0.3018,0.85596,0.97714,0.98485,0.99231,0.96601,0.97714,0.98485,0.99231,0.9105,0.23813,0.40028,0.23041,0.61173,0.0015578,0.0015578,0.0015578
69,2050.15,0.32729,0.3616,0.29865,0.86109,0.97323,0.98052,0.98804,0.96459,0.97615,0.97438,0.98802,0.94323,0.25022,0.38941,0.24727,0.60294,0.0015512,0.0015512,0.0015512
70,2079.81,0.32565,0.35862,0.30566,0.86075,0.9701,0.98316,0.98916,0.96431,0.96583,0.97883,0.98903,0.92124,0.2523,0.40882,0.24724,0.60788,0.0015446,0.0015446,0.0015446
71,2109.47,0.31881,0.35813,0.29585,0.85827,0.97201,0.98918,0.99069,0.97176,0.97438,0.98768,0.99086,0.93924,0.23474,0.43285,0.22872,0.60357,0.001538,0.001538,0.001538
72,2139.26,0.32893,0.37033,0.29509,0.86097,0.96912,0.98052,0.98937,0.96103,0.97096,0.97835,0.98994,0.92693,0.24145,0.36924,0.24584,0.60405,0.0015314,0.0015314,0.0015314
73,2168.86,0.32559,0.35035,0.29373,0.85736,0.97319,0.97835,0.99078,0.9623,0.97194,0.97835,0.99086,0.89133,0.2492,0.36753,0.24174,0.60864,0.0015248,0.0015248,0.0015248
74,2198.47,0.3187,0.35467,0.29289,0.85342,0.97644,0.98052,0.99197,0.96666,0.98262,0.97893,0.99198,0.91794,0.23882,0.36066,0.23292,0.59736,0.0015182,0.0015182,0.0015182
75,2228.1,0.31722,0.34373,0.28493,0.85515,0.97633,0.98204,0.9905,0.96451,0.97633,0.98204,0.9905,0.91202,0.23629,0.37727,0.21918,0.59931,0.0015116,0.0015116,0.0015116
76,2257.77,0.32211,0.35836,0.29244,0.85286,0.97002,0.98049,0.98988,0.96743,0.97002,0.98049,0.98988,0.92604,0.23236,0.35972,0.23356,0.60771,0.001505,0.001505,0.001505
77,2287.47,0.32128,0.35267,0.29323,0.85531,0.98043,0.97596,0.99164,0.96346,0.97923,0.97835,0.99172,0.89973,0.24398,0.37524,0.22869,0.60657,0.0014984,0.0014984,0.0014984
78,2317.07,0.32296,0.35917,0.29064,0.85458,0.97804,0.97186,0.99133,0.96419,0.98039,0.97402,0.99146,0.90884,0.2455,0.3984,0.22091,0.61271,0.0014918,0.0014918,0.0014918
79,2346.73,0.3242,0.35275,0.30675,0.85838,0.98185,0.97403,0.99023,0.96013,0.97958,0.97186,0.98443,0.89868,0.2456,0.41003,0.24459,0.61263,0.0014852,0.0014852,0.0014852
