epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,10500.4,0.54629,0.91261,0.63758,1.00137,0.87038,0.71953,0.81241,0.73142,0.87378,0.72234,0.81442,0.69456,0.41494,0.80596,0.52836,0.91591,0.009043,0.009043,0.009043
31,10850.1,0.53713,0.91597,0.63452,0.99528,0.8569,0.73329,0.81802,0.73421,0.86104,0.73602,0.81661,0.6959,0.40639,0.77799,0.51305,0.92083,0.00901,0.00901,0.00901
32,11199.8,0.53898,0.9132,0.63509,0.99171,0.8714,0.73034,0.82057,0.73575,0.87812,0.72703,0.81843,0.69937,0.40367,0.77866,0.51366,0.9094,0.008977,0.008977,0.008977
33,11549.4,0.5379,0.90575,0.62617,0.99187,0.87955,0.7304,0.82106,0.73923,0.88904,0.72134,0.81978,0.69777,0.40316,0.78006,0.50835,0.91169,0.008944,0.008944,0.008944
34,11898.8,0.53806,0.90006,0.62495,0.99178,0.8738,0.72102,0.8191,0.73709,0.88082,0.72071,0.81772,0.69131,0.40299,0.77707,0.52132,0.91094,0.008911,0.008911,0.008911
35,12248.3,0.52235,0.87842,0.61207,0.98822,0.86714,0.73321,0.82108,0.74261,0.87883,0.72634,0.81806,0.69996,0.39585,0.77398,0.49681,0.91237,0.008878,0.008878,0.008878
36,12597.6,0.52105,0.88235,0.61328,0.98341,0.87755,0.73102,0.82189,0.7424,0.88009,0.73258,0.824,0.70231,0.39087,0.7647,0.4946,0.91038,0.008845,0.008845,0.008845
37,12947.2,0.5219,0.86574,0.60621,0.97977,0.87207,0.72829,0.82679,0.74803,0.88468,0.72377,0.8226,0.70298,0.38875,0.75764,0.49891,0.89725,0.008812,0.008812,0.008812
38,13296.9,0.51362,0.85657,0.59706,0.98392,0.88072,0.72227,0.8263,0.74728,0.8807,0.72649,0.82512,0.70423,0.38434,0.74628,0.48981,0.9093,0.008779,0.008779,0.008779
39,13646.8,0.51472,0.85833,0.59724,0.98184,0.87035,0.73614,0.82937,0.75233,0.87922,0.73477,0.82833,0.70811,0.37776,0.73842,0.48451,0.90044,0.008746,0.008746,0.008746
40,13996.3,0.51076,0.8435,0.58921,0.97607,0.86326,0.7457,0.83086,0.75205,0.86159,0.74868,0.82936,0.7076,0.37748,0.74364,0.48275,0.89909,0.008713,0.008713,0.008713
41,14346,0.50782,0.84114,0.58711,0.97544,0.86518,0.73577,0.83197,0.75221,0.85812,0.74253,0.83041,0.70587,0.38219,0.74384,0.48144,0.90528,0.00868,0.00868,0.00868
42,14695.9,0.50601,0.83557,0.58635,0.97132,0.87571,0.74539,0.82959,0.75286,0.88118,0.74134,0.82786,0.70818,0.37413,0.73981,0.47754,0.89581,0.008647,0.008647,0.008647
43,15046.6,0.50325,0.82743,0.57647,0.96993,0.8882,0.73461,0.83345,0.75784,0.8986,0.73102,0.83273,0.71375,0.37425,0.73486,0.47428,0.89375,0.008614,0.008614,0.008614
44,15397.3,0.50308,0.82881,0.57716,0.97075,0.85136,0.75789,0.83432,0.75715,0.86761,0.74523,0.82993,0.71724,0.3692,0.72548,0.47093,0.89632,0.008581,0.008581,0.008581
45,15748.3,0.50112,0.81824,0.57609,0.97188,0.86861,0.75539,0.83645,0.75713,0.86984,0.74953,0.83109,0.71042,0.37468,0.74202,0.47203,0.89987,0.008548,0.008548,0.008548
46,16099.2,0.49539,0.81324,0.56465,0.96693,0.87326,0.74758,0.8345,0.75609,0.87826,0.74826,0.83383,0.7149,0.36779,0.72976,0.47293,0.9002,0.008515,0.008515,0.008515
47,16451.2,0.48652,0.80333,0.55857,0.9641,0.86857,0.75383,0.83758,0.76084,0.86499,0.75758,0.83584,0.71588,0.36462,0.72604,0.4599,0.89352,0.008482,0.008482,0.008482
48,16802.1,0.49216,0.80597,0.55504,0.96561,0.8836,0.74789,0.83792,0.7627,0.88397,0.7482,0.83594,0.71744,0.36852,0.72929,0.4652,0.89628,0.008449,0.008449,0.008449
49,17153.1,0.4889,0.8102,0.55911,0.96537,0.86889,0.75362,0.83897,0.76189,0.88626,0.74484,0.83717,0.72009,0.36179,0.69244,0.46365,0.88973,0.008416,0.008416,0.008416
50,17504.2,0.48932,0.80366,0.56074,0.9597,0.88555,0.7532,0.84049,0.76603,0.88628,0.75383,0.8371,0.72204,0.3527,0.69488,0.452,0.88316,0.008383,0.008383,0.008383
51,17855,0.48314,0.7891,0.54698,0.96203,0.8783,0.75383,0.83852,0.76702,0.8762,0.75258,0.83675,0.72415,0.35182,0.69954,0.45422,0.88863,0.00835,0.00835,0.00835
52,18206,0.48135,0.78057,0.54783,0.95958,0.88068,0.74936,0.83924,0.76447,0.88066,0.74925,0.83716,0.72144,0.35974,0.69962,0.45017,0.89587,0.008317,0.008317,0.008317
53,18556.9,0.47955,0.7878,0.54116,0.95872,0.84205,0.76777,0.8404,0.76729,0.84463,0.76851,0.83799,0.72212,0.3569,0.69664,0.44886,0.88994,0.008284,0.008284,0.008284
54,18907.8,0.47866,0.78385,0.54047,0.95714,0.87883,0.75508,0.84299,0.77021,0.88101,0.75695,0.84089,0.72458,0.34735,0.69057,0.44112,0.88786,0.008251,0.008251,0.008251
55,19258.8,0.47548,0.75628,0.53637,0.95458,0.86363,0.75579,0.83804,0.76723,0.86459,0.75399,0.83338,0.71831,0.35314,0.6869,0.4548,0.89058,0.008218,0.008218,0.008218
56,19609.5,0.47091,0.76492,0.53154,0.95314,0.86797,0.76194,0.84218,0.77052,0.86926,0.76445,0.83928,0.72526,0.34947,0.68365,0.44156,0.88459,0.008185,0.008185,0.008185
57,19960.2,0.47094,0.76172,0.53599,0.95425,0.88117,0.75726,0.8422,0.77156,0.87815,0.76101,0.84119,0.73015,0.34703,0.68462,0.44197,0.88511,0.008152,0.008152,0.008152
